ID,Sex,Age,Age Bins,Age Group,Composite (z),Word Count,Preposition
128,F,6.09,6-7 years,Child,-0.796649802,38,1
198,F,6.11,6-7 years,Child,-1.158593994,23,5
191,M,6.12,6-7 years,Child,-1.777406237,81,3
125,F,6.27,6-7 years,Child,-1.013499806,52,1
3,F,6.38,6-7 years,Child,-0.620979331,16,2
4,M,6.45,6-7 years,Child,-1.038816152,17,0
130,M,6.61,6-7 years,Child,-1.177308906,63,5
120,F,6.91,6-7 years,Child,-1.082898142,48,9
116,M,7,6-7 years,Child,-1.081058451,47,4
149,F,7.21,6-7 years,Child,-0.248379753,85,12
186,F,7.23,6-7 years,Child,-0.180273652,139,22
126,M,7.35,6-7 years,Child,-0.852337046,29,7
145,M,7.46,6-7 years,Child,-1.843339746,32,2
192,M,7.48,6-7 years,Child,0.014645739,22,0
117,F,7.5,6-7 years,Child,-0.241741043,31,10
124,M,7.54,6-7 years,Child,-0.68252058,6,0
123,M,7.63,6-7 years,Child,-1.093361677,41,1
122,M,7.69,6-7 years,Child,-1.365439083,76,4
175,F,7.79,6-7 years,Child,-1.193562704,87,18
121,M,7.8,6-7 years,Child,-0.151870125,92,9
185,F,8.05,8-9 years,Child,-1.05098266,66,13
109,M,8.21,8-9 years,Child,-0.205942616,103,16
118,F,8.29,8-9 years,Child,-0.902567056,52,14
119,M,8.29,8-9 years,Child,-0.07816098,80,17
176,F,8.33,8-9 years,Child,-0.403941071,44,9
115,M,8.37,8-9 years,Child,-1.473268296,22,9
197,F,8.45,8-9 years,Child,-0.074842152,72,11
184,M,8.69,8-9 years,Child,-0.510793739,24,2
183,F,8.8,8-9 years,Child,-0.328881501,86,11
129,M,8.84,8-9 years,Child,0.156179796,143,16
187,M,9.25,8-9 years,Child,0.732314745,130,20
196,M,9.25,8-9 years,Child,0.178370144,51,11
2,F,9.27,8-9 years,Child,0.737127312,142,31
5,F,9.45,8-9 years,Child,-0.676183822,160,14
177,F,9.51,8-9 years,Child,0.042192462,81,12
195,M,9.53,8-9 years,Child,-0.214759149,71,18
179,F,9.63,8-9 years,Child,-1.851031521,130,18
189,M,9.75,8-9 years,Child,0.931816312,64,10
193,M,9.79,8-9 years,Child,-0.496830016,79,13
105,F,9.87,8-9 years,Child,0.378532929,140,17
190,F,10.03,10-12 years,Child,0.607613112,103,12
114,F,10.13,10-12 years,Child,-0.840271125,31,9
113,F,10.22,10-12 years,Child,0.61827626,39,6
174,F,10.26,10-12 years,Child,0.582981476,80,20
111,F,10.42,10-12 years,Child,0.26394146,39,7
110,F,10.51,10-12 years,Child,0.97075366,54,9
182,M,10.61,10-12 years,Child,1.034608721,76,15
194,M,10.95,10-12 years,Child,-0.006762733,92,15
127,M,11.13,10-12 years,Child,0.211244003,130,21
188,F,11.24,10-12 years,Child,0.328199333,135,29
112,M,11.29,10-12 years,Child,-0.284691752,89,15
180,M,11.59,10-12 years,Child,0.912259242,50,16
178,F,11.64,10-12 years,Child,0.581043319,36,10
146,F,11.83,10-12 years,Child,0.904295624,78,16
144,M,11.93,10-12 years,Child,-0.430933546,40,10
173,F,11.93,10-12 years,Child,-1.241690891,35,7
181,M,12.01,10-12 years,Child,-0.292595881,162,34
200,M,12.21,10-12 years,Child,0.250826248,85,23
199,F,12.63,10-12 years,Child,-0.108363203,98,25
1,F,12.87,10-12 years,Child,0.886606706,101,16
156,F,18.44,Adult,Adult,0.384638192,85,12
139,F,18.78,Adult,Adult,0.62857604,56,11
172,F,18.81,Adult,Adult,0.772079989,59,11
135,F,18.82,Adult,Adult,0.851267964,80,8
151,M,18.83,Adult,Adult,0.418649052,49,12
162,F,18.89,Adult,Adult,-0.193167178,78,12
134,M,18.96,Adult,Adult,1.028618729,130,22
155,F,19.12,Adult,Adult,0.879474669,108,17
141,M,19.14,Adult,Adult,1.112400653,53,13
131,M,19.18,Adult,Adult,0.363574367,84,16
138,F,19.18,Adult,Adult,0.823860314,147,21
137,M,19.21,Adult,Adult,1.282301526,64,12
132,M,19.35,Adult,Adult,1.303562716,114,17
160,F,19.51,Adult,Adult,0.333585257,84,15
164,M,19.65,Adult,Adult,0.483091982,84,16
152,F,19.66,Adult,Adult,1.129157924,90,19
140,F,19.7,Adult,Adult,0.565362019,80,15
157,F,19.72,Adult,Adult,-0.196950813,45,14
133,M,19.74,Adult,Adult,1.129276759,96,20
136,F,19.8,Adult,Adult,0.477387388,83,14
159,M,20.07,Adult,Adult,1.164905451,67,19
171,M,20.14,Adult,Adult,0.80729902,191,36
170,M,20.33,Adult,Adult,0.746955305,129,26
161,M,21.93,Adult,Adult,1.396413328,94,14
163,F,22.58,Adult,Adult,0.057380677,109,18